doc_id	tok_index	kind	norm	doubt_positions	source_page
APZa2	4	WORD	I-KU-PA3-NA-TU-NA-TE	0	APZa2
APZa2	8	WORD	I-NA-JA-RE-TA	4	APZa2
ARKH1a	3	WORD	QA	0	ARKH1.a
ARKH1a	14	WORD	A-SU-MI-*118	3	ARKH1.a
ARKH1b	3	NUM	3	ALL	ARKH1.b
ARKH2	15	WORD	RU-MI	1	ARKH2
ARKH3a	11	NUM	2	ALL	ARKH3.a
ARKH3a	14	NUM	2	ALL	ARKH3.a
ARKH3a	22	WORD	TE	0	ARKH3.a
ARKH3a	23	NUM	2	ALL	ARKH3.a
ARKH3b	8	WORD	OLE	0	ARKH3.b
ARKH3b	15	NUM	4	ALL	ARKH3.b
ARKH4a	2	WORD	NI-TA	1	ARKH4.a
ARKH4a	6	WORD	RE	0	ARKH4.a
ARKH4a	17	NUM	5	ALL	ARKH4.a
ARKH4b	4	WORD	RE	0	ARKH4.b
ARKH4b	7	WORD	U	0	ARKH4.b
ARKH4b	18	WORD	ZA-SI-ZU	0,1,2	ARKH4.b
ARKH5	0	WORD	A-DU-NI-TA-NA	3	ARKH5
ARKH5	5	WORD	A-DA-RO	2	ARKH5
ARKH6	0	WORD	DA-NA-TU	0	ARKH6
ARKH6	4	WORD	TE-RI	0,1	ARKH6
ARKHZc8	0	WORD	*306-TA-JE	0	ARKHZc8
GO2r	8	NUM	2	ALL	GO2.r
GO2v	7	NUM	9/8	ALL	GO2.v
GO2v	9	WORD	RE	0	GO2.v
GO2v	10	NUM	1	ALL	GO2.v
HT1	9	WORD	DI-DI-ZA-KE	0	HT1
HT100	1	NUM	58	ALL	HT100
HT101	10	WORD	OLE+KI	0	HT101
HT101	15	NUM	41	ALL	HT101
HT101	17	WORD	OLE	0	HT101
HT101	18	NUM	10	ALL	HT101
HT101	20	WORD	DI+QE	0	HT101
HT101	23	WORD	KU-PA3	1	HT101
HT101	24	WORD	OLE+U	0	HT101
HT101	35	NUM	2	ALL	HT101
HT102	17	WORD	MA-ZU	1	HT102
HT102	20	WORD	WI	0	HT102
HT102	21	NUM	10	ALL	HT102
HT102	23	WORD	I-KA	1	HT102
HT102	27	NUM	1060	ALL	HT102
HT103	0	WORD	U-TA2	0	HT103
HT103	5	WORD	PA3	0	HT103
HT103	8	NUM	13/2	ALL	HT103
HT104	5	WORD	DA-KU-SE-NE-TI	1	HT104
HT104	9	NUM	41/2	ALL	HT104
HT104	11	WORD	PA-DA-SU-TI	0,1,2,3	HT104
HT106	16	NUM	8	ALL	HT106
HT106	17	WORD	SI	0	HT106
HT106	18	NUM	3	ALL	HT106
HT108	13	NUM	5	ALL	HT108
HT109	2	WORD	RE	0	HT109
HT110a	0	WORD	SI-DU-*34-KU-MI	4	HT110.a
HT110a	1	WORD	CYP+E	0	HT110.a
HT110a	2	NUM	20	ALL	HT110.a
HT110a	4	WORD	KU-PA	1	HT110.a
HT110b	0	WORD	GRA	0	HT110.b
HT110b	6	NUM	3	ALL	HT110.b
HT110b	8	NUM	1	ALL	HT110.b
HT110b	10	WORD	MA	0	HT110.b
HT111a	7	WORD	QA-SA	1	HT111.a
HT111a	13	NUM	14	ALL	HT111.a
HT111a	15	WORD	NI	0	HT111.a
HT111b	2	NUM	18	ALL	HT111.b
