word,freq,concept_en,concept_ru,domain,lang,form,sim,tier,logo_check
A-DA-KI-SI-KA,1,wall,стена,tech,grc,teichos,1.000,B,
A-DU-KU-MI-NA,1,arrow,стрела,tech,grc,toxeuma,1.000,B,
A-DU-NI-TA-NA,1,weight-talent,талант-вес,tech,grc,talanton,0.800,B,
A-KA-NU-ZA-TI,1,emmer,полба,plantfood,akk,kunashu,1.000,B,"GRA(emmer):0/1 (нуль 0.2, p=1.000)"
A-KI-PI-E-TE,1,wheat,пшеница,plantfood,akk,kibtu,1.000,B,"GRA(wheat):1/1 (нуль 0.1, p=0.141)"
A-KU-MI-NA,1,cumin|winter,тмин|зима,plantfood,akk,kamunu|cheimon,1.000,A,
A-PA-RA-NE,2,oven,печь,tech,lat,furnus,0.750,A,
A-PU2-NA-DU,1,five,пять,measure,grc,pente,1.000,B,
A-RA-TU-ME,1,oar,весло,tech,grc,eretmon,0.750,B,
A-RE-PI-RE-NA,1,plow|purple dye|wolf,плуг|пурпур|волк,tech,grc,arotron|purpura|barbaru?,0.750,B,
A-RU-DA-RA,1,plow|brother,плуг|брат,tech,grc,arotron|phrater,0.750,B,
A-SA-MU-NE,1,eight|olive oil,восемь|оливковое масло,measure,akk,samane|shamnu,1.000,A,"OLE(olive oil):0/1 (нуль 0.1, p=1.000)"
A-SA-SA-RA-ME,1,cypress,кипарис,plantfood,sum,shu-ur-me,0.750,A,
A-SA-SU-MA-I-SE,1,sesame|sun|six,кунжут|солнце|шесть,plantfood,grc,sesamon|shamshu|shishshu?,0.750,B,
A-SI-DA-TO-I,1,year,год,time,akk,shattu,1.000,B,
A-SI-JA-KA,2,fig|yoke|soul-spirit,инжир|ярмо|душа,plantfood,grc,sykon|zygon|psyche,0.750,B,"NI(fig):0/2 (нуль 0.0, p=1.000)"
A-SI-KI-RA,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
A-SI-SU-PO-A,1,milk,молоко,plantfood,akk,shizbu,1.000,B,
A-TU-RI-SI-TI,1,ox/bull|three|omen|summer,бык|три|знамение|лето,animal,grc,tauros|treis|teras|theros,1.000,A,
DA-DU-MA-TA,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
DA-DU-MI-NE,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
DA-I-PI-TA,2,salt,соль,trade,akk,tabtu,1.000,B,
DA-KU-NA,1,bow,лук-оружие,tech,grc,toxon,1.000,B,
