word	count	series	sites
pa-ro	244	KN Ai,KN C,KN Dk,KN Ga,KN L,KN Ld,KN X,PY Cc,PY Cn,PY Ea,PY Eb,PY Eo,PY Ep,PY Fr,PY Mb,PY Mn,PY Pa,PY Un,PY Vn,PY Xa,TH Av,TH Wu	KN,PY,TH
pe-mo	167	PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Eq,PY Es	PY
e-ke	165	KN Ap,KN Dl,KN Uf,KN Xd,PY Ea,PY En,PY Ep,PY Eq,PY Er,PY Es,PY Fr,PY Jn,PY Mb,PY Na,PY Xn	KN,PY
o-na-to	160	PY Ea,PY Eb,PY En,PY Eo,PY Ep,PY Eq	PY
to-so-de	136	PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Eq,PY Er,PY Es,PY Jn,PY Un	PY
ko-to-na	128	PY Aq,PY Ea,PY Eb,PY En,PY Eo,PY Ep	PY
ko-wo	126	KN Ag,KN Ai,KN Ak,KN Am,KN Ap,KN Bg,PY Aa,PY Ab,PY Ad,PY Ae,PY An,PY Un,PY Xa	KN,PY
to-so	105	KH Ar,KN Am,KN As,KN B,KN Bg,KN C,KN E,KN F,KN Fh,KN Fp,KN Gg,KN Nc,KN Od,KN Og,KN Pp,KN V,KN X,MY Au,MY Fo,MY Ue,PY An,PY Eb,PY Ed,PY En,PY Ep,PY Eq,PY Er,PY Fr,PY Un,TH Ug	KH,KN,MY,PY,TH
ko-wa	102	KN Ag,KN Ai,KN Ak,KN Ap,KN X,PY Aa,PY Ab,TH Fq	KN,PY,TH
e-ke-qe	88	PY Eb,PY Eo,PY Ep,PY Va	PY
te-o-jo	84	PY Eb,PY Ed,PY En,PY Eo,PY Ep	PY
do-e-ro	78	KN Ai,KN B,KN C,KN Xe,PY Ae,PY An,PY Cn,PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Es,PY Jn	KN,PY
da-mo	75	KN As,KN C,KN Ce,KN F,PY Ea,PY Eb,PY Ep,PY Un,TH Ft,TH Gp	KN,PY,TH
ke-ke-me-na	73	KN Uf,PY Ea,PY Eb,PY Ep	KN,PY
ku-ta-to	65	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dk,KN Dl,KN Dm,KN Dq,KN Dv,KN Ga,KN Mc,KN Uf,KN X,KN Xd	KN
ka-ke-we	60	KN Fh,PY Jn,PY Ma,PY Na,PY Xn	KN,PY
do-e-ra	55	KN Ai,KN Ap,KN Gg,PY Ae,PY An,PY Eb,PY Ed,PY En,PY Eo,PY Ep	KN,PY
do-so-mo	55	PY Es,PY Un	PY
o-da-a2	53	PY An,PY Aq,PY Ed,PY En,PY Eq,PY Ma,PY Un	PY
o-pe-ro	47	KN Ga,KN Gg,KN L,KN So,KN X,PY Ac,PY Cn,PY Eb,PY Fn,PY Ma,PY Nn,PY Ub,PY Xa	KN,PY
pa-i-to	46	KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dm,KN Dn,KN Dq,KN Dv,KN E,KN F,KN Ga,KN L,KN Od,KN Pp,KN Sd,KN So,KN X,KN Xf	KN
da-wo	38	KN Ak,KN Ce,KN D,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dl,KN Dn,KN Dv,KN F,KN Ln,KN Np,KN V,KN X	KN
da-*22-to	38	KN Ak,KN As,KN C,KN Ce,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dk,KN Dn,KN Dq,KN Dv,KN F,KN Ga,KN Mc,KN Uf,KN X,KN Xd	KN
e-ko-so	36	KN C,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dh,KN Dk,KN Dl,KN Dm,KN Dn,KN Dq,KN Dv,KN F,KN L,KN Le,KN Uf	KN
wo-ka	36	PY Sa	PY
o-pi	35	KN As,KN Fh,KN L,KN Le,KN Ln,KN Mc,KN Od,KN Sd,KN Uf,KN V,KN Ws,KN X,KN Xd,KN Xe,KN Xf,PY Ae	KN,PY
me-zo-e	34	KN Ai,KN Ak,KN Gg,KN L,PY Ta	KN,PY
we-da-ne-wo	34	PY An,PY Cn,PY Es,PY Na,PY Un	PY
to-sa	33	KN Ap,KN C,KN Dp,KN Ga,KN L,KN Lc,KN Ld,KN Ln,KN Mc,KN Od,KN Ra,KN X,PY En,PY Er,PY Na,PY Sa,PY Xn	KN,PY
ko-re-te	33	KN C,KN V,PY Aq,PY Jn,PY Jo,PY Nn,PY On	KN,PY
a-ja-me-no	32	KN Sd,PY Ta	KN,PY
we-je-ke-e	32	PY Sa	PY
qa-ra	31	KN Da,KN Db,KN De,KN Dl,KN Dn,KN Dv,KN L,KN Pp,KN Uf,KN V,KN X	KN
ru-ki-to	30	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dg,KN Dm,KN Dn,KN Dv,KN Fh,KN V,KN X	KN
e-ra	29	KN Ai,KN Ak,KN D,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dl,KN Dq,KN Dv,KN F,KN Pp,KN X,KN Xd,KN Xe,MY Z,PY Tn,PY Xa,TH Of	KN,MY,PY,TH
pu-ro	29	PY Aa,PY Ab,PY Ad,PY Ae,PY An,PY Cn,PY Tn,PY Un,PY Va	PY
o-u-di-do-si	29	PY Ma,PY Na	PY
do-ti-ja	28	KN Ap,KN C,KN Ce,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dm,KN Dn,KN Dv,KN E,KN L,KN Le,KN Xe	KN
ti-ri-to	28	KN Da,KN Db,KN De,KN Df,KN Dg,KN Dh,KN Dq,KN Dv,KN L,KN Pp,KN Uf,KN V,KN X	KN
o-pa	26	KN Am,KN Ce,KN Dm,KN E,KN L,KN Sd,KN Sf,KN So,KN Ws,PY Sh,PY Wr,TH Wu	KN,PY,TH
a-pu-do-si	25	KN Bg,KN Fh,KN Ga,KN L,KN Le,KN X,PY Ma,PY Wr	KN,PY
ra-to	25	KN Da,KN Db,KN Dd,KN Df,KN Dm,KN Dn,KN Dv,KN Xd	KN
wo-wo	25	KN Dc,KN Dk,PY Cn,PY Eb,PY Na	KN,PY
pa-we-a	25	KN L,KN Lc,KN Ld	KN
ki-ti-me-na	25	PY Ea,PY En,PY Eo	PY
ri-jo-no	24	KN Ap,KN C,KN Da,KN Db,KN Dd,KN Df,KN Dl,KN Dm,KN Dn,KN Dv	KN
ka-ko	24	PY Jn,PY Sa	PY
ta-ra-nu	23	KN V,PY Ta	KN,PY
a-ke-o-jo	23	KN X,PY Cn	KN,PY
ma-ro-pi	23	PY Cn	PY
to-sa-de	23	PY Er,PY Na,PY Ng,PY Vn	PY
ra-su-to	22	KN Ai,KN As,KN Da,KN Db,KN Dk,KN Dl,KN Dm,KN Dn,KN Dv,KN X	KN
tu-ni-ja	22	KN Ak,KN Ap,KN D,KN Da,KN Db,KN Dd,KN Df,KN Dv,KN Lc,KN Le,KN X,KN Xd	KN
su-ri-mo	22	KN Am,KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dl,KN Dv,KN Od,KN Pp	KN
me-no	22	KN B,KN Fh,KN Fp,KN Ga,KN Gg,KN K,KN M,KN Wb,KN X,PY Fr,PY Jn	KN,PY
u-ta-jo	22	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv,KN V	KN
