family	endpoint	unit	universe	status	selection_history	reference
vcv_positional	V-знаки чаще словоначальны (AUC/точный тест)	знак (53 частотных)	перестановка 5 V-меток, полное перечисление C(53,5)	CONFIRMED (p=0.00049, точное перечисление; аудит Sol подтвердил)	заявлен на этапе 3 до подгонки; pooled/AUC/token — представления одних данных, не репликации	§D; INPUT_FROM_SOL
onomasticon_slot	длинные LA-омографы концентрируются в именных слотах LB	слово-тип LA	Null-B (позиционная перетасовка); мишень = слот-имена LB	CONFIRMED-HOLDOUT через onomasticon_confirmatory_damos (6 @ p=0.0002 на DĀMOS, предрегистрация 677a5da); исторические фигуры: S0 доадаптивная 4 @ 0.0141; v8 post-selected 6 @ 0.0004 (не использовать как доказательство)	слоты N1-N5 заявлены заранее; N6/N7 добавлены адаптивно (§AZ, post-selection зафиксирован аудитом) → снято предрегистрированным hold-out-прогоном	§T-§BT, §DH; INPUT_FROM_SOL §1
grain_class	зерновые кандидаты со-встречаются с GRA	ФИЗИЧЕСКАЯ ТАБЛИЧКА (по аудиту; ранее ошибочно сторона)	гипергеометрика по табличкам, сайт-блокировка	RETRACTED family P=0.0003 (§CT); класс = когерентный разведочный; KU-NI-SU сайт-блок p=0.126	KU-NI-SU предзаявлен этрусским тредом; остальные кандидаты выбраны по данным; DI-DE-RU/QA-RA2-WA вошли из §BZ; PA-SE — HT18/HT27, не HT86/95	§CP-§CX, §DF; grain_tablet.log
record_syntax_core	KU-RO финален; формула-открытие инициально	вхождение оператора; совместная перестановка документа	joint minP, строгий фильтр сохранности	CONFIRMED-STRICT (KU-RO фин p̃=0.0143; A-TA-I-*301-WA-JA нач p̃=0.0217 под строгим фильтром и совместным нулём)	гипотеза импортирована из DecipherEtruscan до теста	§BO, §DF; record_syntax2.log
record_syntax_second	TE/SA-RA2 — вторая позиция	вхождение оператора; совместная перестановка	joint minP, два режима фильтра	FILTER-SENSITIVE (широкий: p̃=0.007/0.004; строгий: raw 0.026/0.015, семейно 0.30/0.16) — заявлять только как raw-сигнал	вторая позиция заявлена после §BO-нюанса TE (последовательная разведка)	§BR, §DF; record_syntax2.log
o_rule	финаль LA -u/-e/-a ↔ слот-формы LB -o	слово-тип	Null-B; агрегат по целевой гласной, p_max5	EXPLORATORY (union: общий p=0.0018, →o p_max5=0.0147; строгий режим 0.059; контраст имена-vs-лексикон ns; DĀMOS-слоты: 9@p=0.087, →o 7@0.13 — НЕ подтверждено на курируемой базе, §DN)	пред-заявка a→o не подтвердилась; сигнал в агрегате; курируемая база не подтверждает — статус остаётся разведочным	§BZ-§CE, §DN
prereg_roundel_repetition_result	(строка результата №3)	—	—	CONFIRMED (0.385 против 0.129±0.073, p=0.0025, один прогон 2026-07-11; roundels2.log) — межпломбовая повторяемость чистых слов подтверждена; согласуется с «имена на пломбах» Anastasiadou	—	§DN
lb_record_grammar	ПРЕДЗАЯВКА (до теста, этап 32): в самом LB (DĀMOS) итоговые операторы to-so/to-sa финально-смещены (аналог KU-RO §BO), а частица o-da-a2 — начально/второпозиционна; строгий фильтр, совместный документный нуль, minP по семейству {to-so,to-sa,to-so-de,o-pe-ro,o-da-a2}×{нач,вт,пп,фин}	вхождение оператора	совместная перестановка порядка слов документа, R=10000	PRE-DECLARED (заявлено этим коммитом до запуска)	перенос подтверждённой LA-рамки на дочернюю письменность — тест наследования документной грамматики	§DP (этап 32)
genre_openness	открытость позиции 1/2 зависит от жанра	документ (TTR пар)	обмен позиций внутри документа	EXPLORATORY-REPLICATED (адм +0.075/религ −0.182 p=0.041; 4-е межтрадиционное совпадение с этрусским)	гипотеза этрусского треда, тест их метрикой	§CM
kober_grid	основы принимают ≥2 финали/окончания чаще нуля	основа	gen_B	EXPLORATORY (29 @ p=0.0071; 14 двузнаковых @ p=0.0002; колонок нет)	определения решётки заявлены до подсчёта	§CK-§CO
onomasticon_confirmatory_damos	ПОДТВЕРЖДАЮЩИЙ: точные LA-омографы длины >=3 значимо концентрируются в слот-именах DĀMOS	слово-тип LA (полные слова, стандартный фильтр)	Null-B R=10000; мишень = слот-имена DĀMOS по замороженным правилам N1-N7	CONFIRMED-HOLDOUT (первичная точка: 6 слот-подтверждённых @ p=0.0002 — I-JA-TE, I-TA-JA, PA-I-TO, PA-RA-NE, SE-TO-I-JA, SU-KI-RI-TA; вторичные len3 8@0.0023, len>=4 3@0.0001; один прогон 2026-07-11, onomasticon_damos.log). Оговорка: физические таблички те же (иного микенского корпуса нет) — подтверждена устойчивость к независимой курируемой оцифровке при снятом предрегистрацией post-selection	предрегистрация коммитом 677a5da ДО скачивания; прогон один, правила не менялись	§DH (этап 29)
