doc	side	word	class	match
ARKH2	SigLA	ZU-*301-SE-DE-QI-*118	чтение-1	('ZU', '*301', 'SE', 'DE', '*21F', '*118')
ARKH2	corpus	KU-RA	прочее	
ARKH2	corpus	ZU-*301-SE-DE-*21F-*118	чтение-1	('ZU', '*301', 'SE', 'DE', 'QI', '*118')
ARKH4a	SigLA	A-JU	прочее	
ARKH4a	corpus	DE-SU	прочее	
ARKH4a	corpus	*47-TE	прочее	
ARKH4b	corpus	I-*47	прочее	
ARKH6	corpus	TE-RI	прочее	
HT101	corpus	ZU-*22F-DI	прочее	
HT101	corpus	KU-PA3	прочее	
HT103	SigLA	PA3-DA-KU-SE-NE	край±1	('DA', 'KU', 'SE', 'NE')
HT108	SigLA	RA2-TI-JU	край±1	('RA2', 'TI')
HT108	corpus	RA2-TI	край±1	('RA2', 'TI', 'JU')
HT110a	corpus	SI-DU-*34-KU-MI	прочее	
HT115a	SigLA	NA-QI-NE-MI-NA	чтение-1	('NA', '*21F', 'NE', 'MI', 'NA')
HT115a	SigLA	A-SE-JA-*718	край±1	('A', 'SE', 'JA')
HT115a	corpus	*47-NU-RA-JA	прочее	
HT115a	corpus	*301-U-RA	прочее	
HT115a	corpus	NA-*21F-NE-MI-NA	чтение-1	('NA', 'QI', 'NE', 'MI', 'NA')
HT115a	corpus	A-SE-JA	край±1	('A', 'SE', 'JA', '*718')
HT115a	corpus	RI-SU-MA	прочее	
HT116a	corpus	PI-*34-TE	прочее	
HT117a	SigLA	TE-PA3-RE	чтение-1	('TE', 'JA', 'RE')
HT117a	corpus	TE-JA-RE	чтение-1	('TE', 'PA3', 'RE')
HT117b	SigLA	QI-TU-NE	чтение-1	('*21F', 'TU', 'NE')
HT117b	corpus	*21F-TU-NE	чтение-1	('QI', 'TU', 'NE')
HT11b	corpus	*86-KA	прочее	
HT120	corpus	DA-U-*49	прочее	
HT122a	SigLA	PA-RI-NE	чтение-1	('PA', 'TA', 'NE')
HT122a	corpus	PA-TA-NE	чтение-1	('PA', 'RI', 'NE')
HT126a	corpus	U-*49	прочее	
HT128a	SigLA	TU-RU-PA3-SE-ME	чтение-1	('TU', 'RU', 'NU', 'SE', 'ME')
HT128a	corpus	TU-RU-NU-SE-ME	чтение-1	('TU', 'RU', 'PA3', 'SE', 'ME')
HT129	SigLA	TU-RU-TA2	прочее	
HT129	SigLA	TU-QI-RI-NA	чтение-1	('TU', '*21F', 'RI', 'NA')
HT129	corpus	KI-RE-TA2	прочее	
HT129	corpus	TU-*21F-RI-NA	чтение-1	('TU', 'QI', 'RI', 'NA')
HT130	corpus	KU-RO	прочее	
HT135a	SigLA	NA-QI-NE	чтение-1	('NA', '*21F', 'NE')
HT135a	corpus	NA-*21F-NE	чтение-1	('NA', 'QI', 'NE')
HT14	SigLA	A-PU-NA-DU	чтение-1	('A', 'PU2', 'NA', 'DU')
